t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint
0.1000,-0.00058,0.00004,0.46246,1.00000,0.00000,-0.00129,-0.00000,0.00843,0.00002,0.30127,0.30051,0.00270,0.00019,2,0.03482,-0.00010,-0.00002,-0.54816,1.10168,-0.55092,0.00023,0.00011,-0.00031,-0.54817,1.10170,-0.55093,0.00043,-0.00039,0.00002,-0.00039,0.00002,-0.00011,0.00070,-0.00404,-1.31162,0.08360,0.02230,0.00013,0.00779,-0.00394,-1.31184,0.08365,0.01775,-0.00312,-0.00007,-0.00313,-0.00007,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1050,-0.00056,0.00004,0.46248,1.00000,0.00000,-0.00123,-0.00000,0.00844,0.00002,0.30129,0.30051,0.00258,0.00021,2,0.03482,-0.00010,-0.00004,-0.54817,1.10142,-0.55074,0.00027,0.00011,-0.00034,-0.54817,1.10143,-0.55075,0.00048,-0.00045,0.00003,-0.00045,0.00003,-0.00010,0.00090,-0.00266,-1.30932,0.08600,0.02322,0.00013,0.00796,-0.00255,-1.30955,0.08605,0.01867,-0.00293,-0.00008,-0.00293,-0.00008,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1100,-0.00054,0.00005,0.46249,1.00000,0.00000,-0.00118,-0.00000,0.00845,0.00003,0.30130,0.30051,0.00246,0.00023,2,0.03482,-0.00010,-0.00007,-0.54817,1.10116,-0.55057,0.00031,0.00011,-0.00037,-0.54818,1.10118,-0.55058,0.00052,-0.00050,0.00003,-0.00051,0.00003,-0.00010,0.00109,-0.00151,-1.30735,0.08791,0.02409,0.00013,0.00811,-0.00140,-1.30760,0.08797,0.01954,-0.00276,-0.00010,-0.00276,-0.00009,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1150,-0.00051,0.00006,0.46250,1.00000,0.00000,-0.00112,-0.00000,0.00846,0.00003,0.30131,0.30051,0.00235,0.00025,2,0.03482,-0.00010,-0.00010,-0.54818,1.10092,-0.55041,0.00035,0.00011,-0.00040,-0.54819,1.10094,-0.55042,0.00057,-0.00056,0.00003,-0.00056,0.00003,-0.00010,0.00127,-0.00056,-1.30569,0.08942,0.02491,0.00013,0.00826,-0.00045,-1.30594,0.08947,0.02037,-0.00261,-0.00011,-0.00261,-0.00011,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1200,-0.00049,0.00006,0.46252,1.00000,0.00000,-0.00107,-0.00000,0.00847,0.00004,0.30132,0.30051,0.00224,0.00028,2,0.03482,-0.00010,-0.00014,-0.54819,1.10069,-0.55026,0.00040,0.00011,-0.00043,-0.54820,1.10071,-0.55027,0.00061,-0.00062,0.00003,-0.00062,0.00003,-0.00010,0.00143,0.00023,-1.30427,0.09058,0.02568,0.00013,0.00840,0.00034,-1.30454,0.09064,0.02115,-0.00247,-0.00012,-0.00248,-0.00012,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1250,-0.00047,0.00007,0.46253,1.00000,0.00000,-0.00101,-0.00000,0.00848,0.00005,0.30133,0.30051,0.00213,0.00030,2,0.03482,-0.00010,-0.00017,-0.54821,1.10047,-0.55012,0.00045,0.00011,-0.00047,-0.54822,1.10049,-0.55013,0.00066,-0.00068,0.00003,-0.00068,0.00003,-0.00010,0.00159,0.00088,-1.30308,0.09146,0.02640,0.00013,0.00853,0.00099,-1.30335,0.09152,0.02188,-0.00235,-0.00013,-0.00236,-0.00013,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1300,-0.00045,0.00008,0.46254,1.00000,0.00000,-0.00096,-0.00000,0.00849,0.00005,0.30134,0.30051,0.00203,0.00032,2,0.03482,-0.00010,-0.00021,-0.54822,1.10026,-0.54998,0.00050,0.00011,-0.00051,-0.54823,1.10028,-0.54999,0.00072,-0.00074,0.00003,-0.00074,0.00003,-0.00010,0.00173,0.00141,-1.30206,0.09211,0.02707,0.00013,0.00865,0.00152,-1.30234,0.09217,0.02256,-0.00225,-0.00014,-0.00225,-0.00014,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1350,-0.00044,0.00009,0.46255,1.00000,0.00000,-0.00091,-0.00000,0.00850,0.00006,0.30135,0.30051,0.00192,0.00035,2,0.03482,-0.00010,-0.00025,-0.54824,1.10006,-0.54986,0.00056,0.00011,-0.00055,-0.54826,1.10009,-0.54987,0.00077,-0.00080,0.00003,-0.00080,0.00003,-0.00010,0.00186,0.00184,-1.30121,0.09256,0.02769,0.00013,0.00876,0.00196,-1.30149,0.09262,0.02318,-0.00216,-0.00016,-0.00216,-0.00015,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1400,-0.00042,0.00010,0.46256,1.00000,0.00001,-0.00086,-0.00000,0.00851,0.00007,0.30136,0.30051,0.00182,0.00038,2,0.03482,-0.00010,-0.00030,-0.54826,1.09988,-0.54973,0.00061,0.00011,-0.00060,-0.54828,1.09990,-0.54975,0.00083,-0.00086,0.00003,-0.00086,0.00003,-0.00009,0.00198,0.00219,-1.30049,0.09285,0.02826,0.00013,0.00886,0.00231,-1.30078,0.09291,0.02376,-0.00208,-0.00017,-0.00208,-0.00016,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
0.1450,-0.00040,0.00012,0.46257,1.00000,0.00001,-0.00081,-0.00000,0.00851,0.00007,0.30137,0.30051,0.00173,0.00040,2,0.03482,-0.00010,-0.00035,-0.54829,1.09970,-0.54962,0.00067,0.00011,-0.00064,-0.54830,1.09973,-0.54963,0.00089,-0.00091,0.00003,-0.00092,0.00003,-0.00009,0.00209,0.00247,-1.29988,0.09300,0.02878,0.00013,0.00895,0.00260,-1.30018,0.09307,0.02429,-0.00200,-0.00018,-0.00201,-0.00018,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,12.000,12.000,6.000,6.000,6.000,6.000,6.000,6.000
