rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v5only,-0.022,1,40,104,0.475,0.010,6.9,1.00,67,3,0,0.0,,5.834,SURVIVED
v5only,+0.026,0,40,103,0.475,0.007,7.8,1.00,68,7,0,0.0,,5.834,SURVIVED
v5only,+0.026,1,40,92,0.475,0.013,13.0,1.00,64,3,0,0.0,,5.834,SURVIVED
v5only,-0.026,0,40,92,0.475,0.013,12.9,1.01,66,6,0,0.0,,5.834,SURVIVED
v5only,-0.026,1,40,103,0.475,0.013,13.0,1.00,64,5,0,0.0,,5.834,SURVIVED
v5only,+0.030,0,40,102,0.475,0.007,8.6,1.00,66,11,0,0.0,,5.834,SURVIVED
v5only,+0.030,1,40,93,0.475,0.007,8.6,1.00,66,13,0,0.0,,5.834,SURVIVED
v5only,-0.030,0,40,93,0.475,0.007,8.6,1.00,64,1,0,0.0,,5.834,SURVIVED
v5only,-0.030,1,40,102,0.475,0.007,13.1,1.01,76,5,0,0.0,,5.834,SURVIVED
v5only,+0.045,0,15,197,0.415,0.529,257.7,1.01,163,51,46,111.3,9.960,5.834,FELL
v5only,-0.045,0,13,113,0.439,0.540,51.7,1.00,150,20,0,0.0,8.875,5.834,FELL
v5only,+0.036,1,31,105,0.444,0.523,60.5,1.01,129,15,0,0.0,18.760,5.834,FELL
v5only,-0.045,1,14,92,0.437,0.527,102.9,1.01,174,33,45,91.5,9.580,5.834,FELL
v5only,-0.036,1,28,83,0.418,0.532,166.8,1.01,199,26,62,303.9,16.875,5.834,FELL
v5only,+0.055,0,7,640,0.432,0.538,95.7,1.00,156,17,24,268.6,5.675,5.834,FELL
v5only,+0.045,1,34,137,0.344,0.525,274.8,1.01,184,33,2,172.1,20.590,5.834,FELL
v5only,+0.036,0,40,101,0.469,0.016,24.2,1.00,79,17,0,0.0,,5.834,SURVIVED
v5only,-0.055,0,8,520,0.391,0.521,246.0,1.00,199,22,9,236.5,6.200,5.834,FELL
v5only,+0.055,1,9,472,0.390,0.521,462.8,1.00,204,58,7,64.4,6.925,5.834,FELL
v5only,-0.055,1,8,583,0.387,0.532,468.9,1.01,160,23,22,45.8,6.300,5.834,FELL
v5only,-0.036,0,40,47,0.409,0.543,297.6,1.01,195,19,11,37.3,24.040,5.834,FELL
v6fixed,+0.018,1,40,90,0.476,0.002,5.4,1.00,66,12,0,0.0,,6.338,SURVIVED
v6fixed,+0.018,0,40,105,0.476,0.002,5.4,1.00,69,10,0,0.0,,6.338,SURVIVED
v6fixed,-0.018,0,40,90,0.476,0.002,5.4,1.00,65,9,0,0.0,,6.338,SURVIVED
v6fixed,-0.018,1,40,105,0.476,0.002,5.4,1.00,64,2,0,0.0,,6.338,SURVIVED
v6fixed,+0.022,0,40,104,0.476,0.002,5.4,1.00,63,15,0,0.0,,6.338,SURVIVED
v6fixed,+0.022,1,40,91,0.476,0.002,5.4,1.00,64,14,0,0.0,,6.338,SURVIVED
v6fixed,-0.022,0,40,91,0.476,0.002,5.4,1.00,67,12,0,0.0,,6.338,SURVIVED
v6fixed,-0.022,1,40,104,0.476,0.002,5.4,1.00,63,6,0,0.0,,6.338,SURVIVED
v6fixed,+0.026,0,40,103,0.476,0.003,7.2,1.00,69,33,0,0.0,,6.338,SURVIVED
v6fixed,+0.026,1,40,92,0.476,0.007,6.7,1.00,67,21,0,0.0,,6.338,SURVIVED
v6fixed,-0.026,0,40,92,0.476,0.007,6.8,1.00,64,4,0,0.0,,6.338,SURVIVED
v6fixed,-0.026,1,40,103,0.476,0.002,6.5,1.00,68,5,0,0.0,,6.338,SURVIVED
v6fixed,+0.030,0,40,102,0.476,0.004,7.5,1.00,64,35,0,0.0,,6.338,SURVIVED
v6fixed,+0.030,1,40,93,0.476,0.010,13.1,1.00,66,20,0,0.0,,6.338,SURVIVED
v6fixed,-0.030,0,40,93,0.476,0.009,8.1,1.00,66,10,0,0.0,,6.338,SURVIVED
v6fixed,-0.030,1,40,102,0.476,0.008,13.3,1.00,66,5,0,0.0,,6.338,SURVIVED
v6fixed,+0.045,1,8,-532,0.427,0.528,233.7,1.01,204,43,33,228.6,5.970,6.338,FELL
v6fixed,-0.045,0,15,108,0.439,0.529,47.3,1.00,181,16,0,0.0,10.015,6.338,FELL
v6fixed,+0.055,0,11,314,0.424,0.554,344.7,1.00,181,18,3,213.4,7.820,6.338,FELL
v6fixed,+0.055,1,8,635,0.418,0.546,290.6,1.01,217,17,20,111.9,6.045,6.338,FELL
v6fixed,-0.045,1,28,113,0.439,0.522,37.5,1.00,156,24,0,0.0,17.160,6.338,FELL
v6fixed,-0.055,0,8,444,0.397,0.524,191.2,1.00,163,25,5,222.2,5.995,6.338,FELL
v6fixed,+0.036,0,40,101,0.476,0.008,12.6,1.00,63,28,0,0.0,,6.338,SURVIVED
v6fixed,+0.036,1,40,94,0.476,0.008,10.5,1.00,63,23,0,0.0,,6.338,SURVIVED
v6fixed,-0.055,1,11,269,0.432,0.523,290.6,1.01,207,24,6,0.0,7.845,6.338,FELL
v6fixed,-0.036,0,40,94,0.476,0.016,10.3,1.00,63,10,0,0.0,,6.338,SURVIVED
v6fixed,+0.045,0,40,101,0.475,0.014,27.7,1.00,117,19,0,0.0,,6.338,SURVIVED
v6fixed,-0.036,1,40,101,0.476,0.007,10.0,1.00,64,6,0,0.0,,6.338,SURVIVED
