rev,vy,first_swing,SOLE_HALF_W,ARM_HOLD,ARM_HOLD_JOINTS,KP_ARM,KD_ARM,ARM_PITCH,ELBOW,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond
v7,-0.073,0,,,,,,,,5,-0,0.429,0.527,37.2,1.00,158,9,16,20.4,4.530,5.418,FELL,v7 as-is
v7,+0.073,0,,,,,,,,8,423,0.419,0.530,230.7,1.00,141,9,97,249.0,6.365,5.418,FELL,v7 as-is
v7,+0.073,1,,,,,,,,8,531,0.404,0.533,361.8,1.01,198,7,18,55.6,6.395,5.418,FELL,v7 as-is
v7,-0.073,1,,,,,,,,11,264,0.398,0.555,290.3,1.00,203,10,44,150.8,7.755,5.418,FELL,v7 as-is
v8,+0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.475,0.003,9.3,1.00,60,13,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.475,0.003,9.3,1.00,60,11,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.475,0.003,9.3,1.00,60,9,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.475,0.003,9.3,1.00,60,8,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.475,0.003,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.475,0.003,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.475,0.003,9.3,1.00,60,1,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.475,0.003,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.003,9.3,1.00,60,2,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.003,9.3,1.00,60,8,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.006,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.006,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.006,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 guard
v8,-0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.005,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 guard
v8,+0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.024,18.0,1.00,122,35,108,51.5,,6.075,SURVIVED,v8 guard
v8,+0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.016,20.4,1.00,91,20,159,59.8,,6.075,SURVIVED,v8 guard
v8,-0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.015,18.1,1.00,71,16,109,15.5,,6.075,SURVIVED,v8 guard
v8,-0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.014,19.8,1.00,69,15,136,18.4,,6.075,SURVIVED,v8 guard
v8,+0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,19,29,0.414,0.537,383.3,1.00,198,22,274,139.1,12.085,6.075,FELL,v8 guard
v8,+0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,99,0.475,0.020,22.3,1.00,97,13,245,44.8,,6.075,SURVIVED,v8 guard
v8,-0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,96,0.475,0.016,14.8,1.00,86,15,420,48.4,,6.075,SURVIVED,v8 guard
v8,-0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,87,0.421,0.522,426.1,1.00,195,40,363,79.7,23.555,6.075,FELL,v8 guard
v8_strongarm,+0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.475,0.003,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.475,0.003,9.3,1.00,60,4,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.018,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,90,0.475,0.003,9.3,1.00,60,15,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.018,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,105,0.475,0.003,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.475,0.003,9.3,1.00,60,4,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.475,0.003,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.026,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,92,0.475,0.003,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.026,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,103,0.475,0.003,9.3,1.00,60,9,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.475,0.003,9.3,1.00,60,2,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.036,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,94,0.475,0.003,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.036,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.003,9.3,1.00,60,3,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.045,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.003,9.3,1.00,60,8,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.045,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,101,0.475,0.003,9.3,1.00,60,5,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.006,9.3,1.00,60,7,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.005,9.3,1.00,60,6,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.055,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.006,9.3,1.00,60,4,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.055,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.006,9.3,1.00,60,2,0,0.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,13,208,0.409,0.536,301.2,1.01,189,25,95,155.9,8.825,6.075,FELL,v8 strong-arm
v8_strongarm,+0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.014,17.8,1.00,66,4,90,17.0,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,+0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,16,157,0.414,0.533,304.7,1.00,199,27,109,180.3,10.435,6.075,FELL,v8 strong-arm
v8_strongarm,-0.073,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,13,195,0.414,0.566,216.2,1.00,155,21,94,195.4,8.750,6.075,FELL,v8 strong-arm
v8_strongarm,+0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,39,71,0.396,0.557,301.5,1.00,195,29,221,54.2,23.065,6.075,FELL,v8 strong-arm
v8_strongarm,-0.073,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,30,117,0.398,0.556,224.9,1.00,172,17,256,71.8,18.130,6.075,FELL,v8 strong-arm
v8_strongarm,-0.065,1,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,100,0.475,0.020,16.8,1.00,117,10,271,48.4,,6.075,SURVIVED,v8 strong-arm
v8_strongarm,-0.065,0,0.030,1,shoulder,200,20,-0.4363,-2.2689,40,95,0.475,0.017,16.4,1.00,75,9,105,18.4,,6.075,SURVIVED,v8 strong-arm
