tick,t,FR_hip_joint_q,FR_hip_joint_dq,FR_thigh_joint_q,FR_thigh_joint_dq,FR_calf_joint_q,FR_calf_joint_dq,FL_hip_joint_q,FL_hip_joint_dq,FL_thigh_joint_q,FL_thigh_joint_dq,FL_calf_joint_q,FL_calf_joint_dq,RR_hip_joint_q,RR_hip_joint_dq,RR_thigh_joint_q,RR_thigh_joint_dq,RR_calf_joint_q,RR_calf_joint_dq,RL_hip_joint_q,RL_hip_joint_dq,RL_thigh_joint_q,RL_thigh_joint_dq,RL_calf_joint_q,RL_calf_joint_dq,root_x,root_y,root_z,root_qw,root_qx,root_qy,root_qz,root_vx,root_vy,root_vz,root_wx,root_wy,root_wz
5238,10.4760,0.002297,-0.256664,0.688995,3.201840,-1.955625,-1.275082,-0.001986,0.152936,0.689538,3.262989,-1.954767,-1.078564,-0.005070,0.437635,1.295661,4.439931,-1.954931,-4.193131,0.004416,-0.324015,1.289154,5.140412,-1.955382,-4.099720,14.92621,0.01638,0.24997,0.999982,0.003048,0.004875,-0.001513,2.05754,-0.02858,-0.09541,0.20998,1.70733,0.16339
5239,10.4780,0.001619,-0.338590,0.697065,4.034900,-1.958848,-1.611734,-0.001533,0.226873,0.697778,4.119817,-1.957510,-1.371736,-0.004336,0.367308,1.303167,3.752693,-1.965736,-5.402086,0.003909,-0.253880,1.297904,4.375124,-1.966020,-5.318723,14.93032,0.01632,0.24973,0.999972,0.003249,0.006598,-0.001353,2.05444,-0.02823,-0.11781,0.20379,1.72185,0.16393
5240,10.4800,0.000806,-0.406739,0.706555,4.744983,-1.962665,-1.908575,-0.000956,0.288309,0.707490,4.856184,-1.960770,-1.629642,-0.003746,0.295031,1.309305,3.069073,-1.978722,-6.493456,0.003541,-0.183641,1.305128,3.611818,-1.978868,-6.423964,14.93442,0.01627,0.24946,0.999959,0.003441,0.008326,-0.001193,2.05026,-0.02782,-0.13707,0.19565,1.72757,0.16463
5241,10.4820,-0.000120,-0.462992,0.717248,5.346311,-1.967001,-2.167902,-0.000276,0.340160,0.718457,5.483646,-1.964480,-1.855248,-0.003300,0.223046,1.314050,2.372827,-1.993611,-7.444079,0.003310,-0.115393,1.310805,2.838276,-1.993648,-7.390019,14.93851,0.01621,0.24915,0.999942,0.003622,0.010049,-0.001032,2.04527,-0.02736,-0.15288,0.18508,1.72223,0.16535
5242,10.4840,-0.001137,-0.508624,0.728953,5.852847,-1.971781,-2.389859,0.000493,0.384299,0.730484,6.013418,-1.968578,-2.048818,-0.002993,0.153135,1.317344,1.646697,-2.010084,-8.236867,0.003209,-0.050716,1.314884,2.039767,-2.010044,-8.198194,14.94259,0.01616,0.24882,0.999923,0.003791,0.011754,-0.000870,2.03971,-0.02684,-0.16486,0.17186,1.70455,0.16603
5243,10.4860,-0.002226,-0.544339,0.741510,6.278283,-1.976927,-2.573118,0.001337,0.421899,0.743398,6.456771,-1.972996,-2.209168,-0.002820,0.086694,1.319092,0.874304,-2.027803,-8.859501,0.003227,0.009227,1.317287,1.201408,-2.027715,-8.835139,14.94666,0.01611,0.24848,0.999902,0.003943,0.013429,-0.000708,2.03372,-0.02626,-0.17268,0.15590,1.67405,0.16670
5244,10.4880,-0.003367,-0.570570,0.754781,6.635563,-1.982356,-2.714323,0.002244,0.453487,0.757048,6.825016,-1.977665,-2.334332,-0.002770,0.024803,1.319176,0.041738,-2.046410,-9.303563,0.003355,0.063519,1.317907,0.310007,-2.046298,-9.291813,14.95071,0.01605,0.24813,0.999878,0.004077,0.015060,-0.000545,2.02746,-0.02562,-0.17606,0.13726,1.63085,0.16743
5245,10.4900,-0.004543,-0.587993,0.768653,6.935701,-1.987965,-2.804600,0.003202,0.479282,0.771306,7.129225,-1.982509,-2.421988,-0.002834,-0.031695,1.317454,-0.861149,-2.065538,-9.563975,0.003577,0.111334,1.316618,-0.644419,-2.065424,-9.562769,14.95475,0.01601,0.24778,0.999853,0.004190,0.016636,-0.000381,2.02104,-0.02491,-0.17481,0.11613,1.57552,0.16833
5246,10.4920,-0.005738,-0.597233,0.783029,7.188162,-1.993641,-2.838194,0.004201,0.499422,0.786066,7.379827,-1.987446,-2.468942,-0.002998,-0.082057,1.313774,-1.839533,-2.084816,-9.638626,0.003881,0.151975,1.313284,-1.667255,-2.084715,-9.645742,14.95878,0.01596,0.24744,0.999826,0.004279,0.018146,-0.000217,2.01460,-0.02415,-0.16888,0.09295,1.50911,0.16946
5247,10.4940,-0.006935,-0.598975,0.797831,7.400879,-1.999267,-2.812761,0.005230,0.514282,0.801238,7.586190,-1.992384,-2.468905,-0.003249,-0.125514,1.307989,-2.892762,-2.103872,-9.528154,0.004251,0.184938,1.307767,-2.758302,-2.103798,-9.541412,14.96280,0.01591,0.24712,0.999799,0.004344,0.019579,-0.000051,2.00829,-0.02335,-0.15837,0.06826,1.43291,0.17085
5248,10.4960,-0.008122,-0.593158,0.812993,7.581129,-2.004722,-2.727665,0.006278,0.524350,0.816753,7.757562,-1.997220,-2.418083,-0.003573,-0.162189,1.299964,-4.012724,-2.122344,-9.236138,0.004667,0.208120,1.299979,-3.893737,-2.122312,-9.257062,14.96680,0.01586,0.24684,0.999771,0.004383,0.020928,0.000117,2.00222,-0.02253,-0.14356,0.04258,1.34836,0.17253
5249,10.4980,-0.009278,-0.578202,0.828490,7.748476,-2.009871,-2.574508,0.007331,0.526570,0.832583,7.914525,-2.001833,-2.306039,-0.003940,-0.183251,1.289898,-5.032680,-2.139947,-8.801173,0.005098,0.215265,1.290158,-4.910976,-2.139968,-8.828149,14.97080,0.01582,0.24659,0.999744,0.004396,0.022184,0.000286,1.99660,-0.02169,-0.12499,0.01590,1.25567,0.17419
5250,10.5000,-0.010391,-0.556629,0.844301,7.905693,-2.014590,-2.359713,0.008374,0.521450,0.848704,8.060547,-2.006107,-2.137191,-0.004328,-0.194040,1.278006,-5.946095,-2.156360,-8.206645,0.005529,0.215727,1.278509,-5.824329,-2.156436,-8.233684,14.97478,0.01578,0.24638,0.999718,0.004381,0.023322,0.000456,1.99224,-0.02084,-0.10451,-0.01125,1.13718,0.17574
5251,10.5020,-0.011448,-0.528043,0.860409,8.053807,-2.018775,-2.092188,0.009391,0.508239,0.865099,8.197521,-2.009945,-1.918790,-0.004726,-0.198923,1.264479,-6.763576,-2.171259,-7.449711,0.005953,0.212098,1.265222,-6.643417,-2.171384,-7.474327,14.97876,0.01574,0.24621,0.999695,0.004339,0.024320,0.000628,1.98926,-0.02000,-0.08263,-0.03782,0.99793,0.17765
