rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived
v3,-0.022,0,40,91,0.476,0.003,5.3,1.00,64,12,0,0.0,,6.222,SURVIVED
v3,+0.022,1,40,91,0.476,0.003,5.3,1.00,63,9,0,0.0,,6.222,SURVIVED
v3,-0.022,1,40,104,0.476,0.003,5.3,1.00,63,9,0,0.0,,6.222,SURVIVED
v3,+0.026,1,40,92,0.476,0.010,9.5,1.00,68,9,0,0.0,,6.222,SURVIVED
v3,+0.026,0,40,103,0.476,0.005,6.5,1.00,63,8,0,0.0,,6.222,SURVIVED
v3,-0.026,0,40,92,0.476,0.009,6.6,1.00,64,10,0,0.0,,6.222,SURVIVED
v3,-0.026,1,40,103,0.476,0.006,6.7,1.00,63,4,0,0.0,,6.222,SURVIVED
v3,+0.030,0,40,102,0.476,0.010,13.0,1.00,64,14,0,0.0,,6.222,SURVIVED
v3,+0.030,1,40,93,0.476,0.011,13.0,1.00,66,15,0,0.0,,6.222,SURVIVED
v3,-0.030,0,40,93,0.476,0.012,13.0,1.00,62,8,0,0.0,,6.222,SURVIVED
v3,-0.030,1,40,102,0.476,0.006,13.0,1.00,64,8,0,0.0,,6.222,SURVIVED
v3,-0.045,0,7,264,0.440,0.527,64.1,1.00,150,7,0,0.0,5.610,6.222,FELL
v3,+0.045,1,12,109,0.450,0.535,251.8,1.01,146,18,13,107.0,8.380,6.222,FELL
v3,+0.055,0,8,214,0.441,0.522,75.4,1.01,146,15,0,0.0,6.180,6.222,FELL
v3,+0.055,1,8,486,0.379,0.577,226.6,1.00,146,28,0,0.0,6.305,6.222,FELL
v3,+0.036,0,40,101,0.476,0.011,13.7,1.00,64,21,0,0.0,,6.222,SURVIVED
v3,+0.036,1,40,94,0.476,0.011,10.3,1.00,65,20,0,0.0,,6.222,SURVIVED
v3,-0.055,0,8,588,0.425,0.580,227.0,1.00,192,13,0,0.0,5.940,6.222,FELL
v3,-0.055,1,10,158,0.453,0.525,88.4,1.01,129,28,0,0.0,7.335,6.222,FELL
v3,-0.036,0,40,94,0.476,0.011,10.3,1.00,63,15,0,0.0,,6.222,SURVIVED
v3,-0.036,1,40,101,0.476,0.011,9.8,1.00,64,18,0,0.0,,6.222,SURVIVED
v3,+0.045,0,40,100,0.476,0.013,24.1,1.00,83,22,0,0.0,,6.222,SURVIVED
v3,-0.045,1,40,101,0.476,0.013,24.8,1.00,110,18,0,0.0,,6.222,SURVIVED
v4,+0.018,1,40,90,0.476,0.003,5.4,1.00,66,7,0,0.0,,6.358,SURVIVED
v4,+0.018,0,40,105,0.476,0.003,5.4,1.00,65,10,0,0.0,,6.358,SURVIVED
v4,-0.018,0,40,90,0.476,0.003,5.4,1.00,64,7,0,0.0,,6.358,SURVIVED
v4,-0.018,1,40,105,0.476,0.003,5.4,1.00,64,8,0,0.0,,6.358,SURVIVED
