t_s,phase,roll,pitch,yaw,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,quat_w,quat_x,quat_y,quat_z,imu_temp,power_v,power_a,foot0,foot1,foot2,foot3,FR_hip_cmd,FR_hip_q,FR_hip_dq,FR_hip_tau,FR_thigh_cmd,FR_thigh_q,FR_thigh_dq,FR_thigh_tau,FR_calf_cmd,FR_calf_q,FR_calf_dq,FR_calf_tau,FL_hip_cmd,FL_hip_q,FL_hip_dq,FL_hip_tau,FL_thigh_cmd,FL_thigh_q,FL_thigh_dq,FL_thigh_tau,FL_calf_cmd,FL_calf_q,FL_calf_dq,FL_calf_tau,RR_hip_cmd,RR_hip_q,RR_hip_dq,RR_hip_tau,RR_thigh_cmd,RR_thigh_q,RR_thigh_dq,RR_thigh_tau,RR_calf_cmd,RR_calf_q,RR_calf_dq,RR_calf_tau,RL_hip_cmd,RL_hip_q,RL_hip_dq,RL_hip_tau,RL_thigh_cmd,RL_thigh_q,RL_thigh_dq,RL_thigh_tau,RL_calf_cmd,RL_calf_q,RL_calf_dq,RL_calf_tau
0.0480,B,-0.00921,-0.00091,-2.19489,0.03515,0.00107,-0.08309,0.01676,0.29209,5.38097,-0.455865,0.002506,-0.003892,0.890037,79,30.571,9.913,101,15,28,10,0.00000,-0.00343,0.09689,6.4814,0.61018,0.60596,0.00000,4.4776,-1.21323,-1.21598,0.02022,6.4484,0.00000,-0.00166,0.07751,-1.4101,0.61018,0.60862,0.10851,1.2122,-1.21323,-1.21225,0.05459,2.7027,0.00000,-0.00704,0.00388,11.1570,0.61018,0.61037,0.02713,-0.0247,-1.21323,-1.21205,0.02224,3.4139,0.00000,0.01291,-0.13177,-16.2531,0.61018,0.61192,0.03100,-1.9791,-1.21323,-1.21309,0.06875,4.6467
0.0500,B,-0.00913,-0.00095,-2.19505,0.01704,-0.00320,-0.08309,0.22266,0.59376,5.09486,-0.455793,0.002504,-0.003848,0.890074,79,30.571,10.015,101,15,28,10,0.00000,-0.00346,-0.02713,6.3825,0.61018,0.60599,0.00000,4.4282,-1.21323,-1.21590,0.07279,6.5907,0.00000,-0.00172,-0.03488,-1.5585,0.61018,0.60862,-0.01938,1.2864,-1.21323,-1.21216,0.03235,2.6552,0.00000,-0.00710,-0.08526,11.4291,0.61018,0.61034,-0.06588,-0.0495,-1.21323,-1.21205,0.01820,3.4613,0.00000,0.01267,-0.13564,-16.2531,0.61018,0.61198,0.07751,-2.2264,-1.21323,-1.21306,0.00404,4.6941
0.0520,B,-0.00917,-0.00096,-2.19523,-0.03409,0.01491,-0.08948,0.22266,0.59376,5.09486,-0.455713,0.002516,-0.003865,0.890115,79,30.562,10.084,101,15,27,10,0.00000,-0.00337,0.03876,6.3083,0.61018,0.60608,0.04651,4.2797,-1.21323,-1.21587,0.00809,6.5907,0.00000,-0.00169,0.00000,-1.6327,0.61018,0.60871,0.07363,1.1627,-1.21323,-1.21202,0.01415,2.6552,0.00000,-0.00710,0.04651,11.6023,0.61018,0.61037,0.00000,0.0247,-1.21323,-1.21203,0.00607,3.4139,0.00000,0.01258,-0.08526,-16.3520,0.61018,0.61201,0.03876,-2.2264,-1.21323,-1.21299,0.02426,4.5044
0.0540,B,-0.00934,-0.00091,-2.19542,-0.12251,0.05007,-0.09374,0.45011,0.91339,5.53061,-0.455630,0.002531,-0.003949,0.890157,79,30.562,10.084,101,15,27,12,0.00000,-0.00334,0.00775,6.1846,0.61018,0.60608,-0.00775,4.4034,-1.21323,-1.21587,-0.01820,6.5907,0.00000,-0.00163,0.04263,-1.8801,0.61018,0.60877,0.01550,0.9895,-1.21323,-1.21200,0.00404,2.7027,0.00000,-0.00710,-0.01163,11.3549,0.61018,0.61037,0.00775,-0.0247,-1.21323,-1.21200,0.04853,3.3191,0.00000,0.01246,-0.22866,-16.6736,0.61018,0.61210,0.03876,-2.6223,-1.21323,-1.21295,-0.03235,4.4570
0.0560,B,-0.00954,-0.00086,-2.19560,-0.12570,0.02983,-0.09481,0.45011,0.91339,5.53061,-0.455550,0.002557,-0.004050,0.890197,79,30.553,10.289,101,15,27,12,0.00000,-0.00328,0.09689,6.3083,0.61018,0.60623,0.05426,4.1066,-1.21323,-1.21585,0.03235,6.4959,0.00000,-0.00157,0.03100,-1.7812,0.61018,0.60883,0.05426,1.0390,-1.21323,-1.21202,0.02224,2.8449,0.00000,-0.00704,0.01938,11.1570,0.61018,0.61037,-0.01938,-0.0495,-1.21323,-1.21202,0.00202,3.4613,0.00000,0.01261,-0.01938,-16.6736,0.61018,0.61219,0.03876,-2.4986,-1.21323,-1.21295,-0.03437,4.6941
0.0580,B,-0.00975,-0.00078,-2.19578,-0.13635,0.05752,-0.09800,0.45011,0.91339,5.53061,-0.455467,0.002570,-0.004163,0.890239,79,30.562,10.220,101,15,26,14,0.00000,-0.00334,-0.02325,6.3825,0.61018,0.60623,0.05426,4.1066,-1.21323,-1.21584,0.02022,6.4959,0.00000,-0.00148,0.09301,-1.9296,0.61018,0.60890,0.07751,0.9648,-1.21323,-1.21202,-0.02426,2.8923,0.00000,-0.00701,-0.00775,11.1322,0.61018,0.61034,-0.03876,0.0247,-1.21323,-1.21202,0.00000,3.4139,0.00000,0.01267,0.07751,-16.9705,0.61018,0.61222,0.01938,-2.5233,-1.21323,-1.21295,-0.02022,4.5993
0.0600,B,-0.00995,-0.00068,-2.19596,-0.10759,0.07031,-0.08948,0.33399,0.06225,6.73848,-0.455390,0.002571,-0.004274,0.890278,79,30.562,10.220,101,15,26,14,0.00000,-0.00331,-0.00388,6.4072,0.61018,0.60638,0.08526,3.9581,-1.21323,-1.21587,-0.01415,6.5907,0.00000,-0.00151,0.06588,-1.8801,0.61018,0.60899,0.04651,0.9895,-1.21323,-1.21202,-0.00809,2.9871,0.00000,-0.00695,-0.02713,10.9096,0.61018,0.61037,0.01938,-0.0247,-1.21323,-1.21200,0.01213,3.4139,0.00000,0.01255,-0.01163,-16.7478,0.61018,0.61237,0.09689,-2.8696,-1.21323,-1.21295,-0.03437,4.6941
0.0620,B,-0.01013,-0.00057,-2.19615,-0.10972,0.07670,-0.10013,0.33399,0.06225,6.73848,-0.455305,0.002559,-0.004380,0.890321,79,30.553,10.289,101,15,27,14,0.00000,-0.00337,0.05038,6.4567,0.61018,0.60635,-0.02713,4.0076,-1.21323,-1.21587,-0.02224,6.5907,0.00000,-0.00142,0.06976,-2.0038,0.61018,0.60908,0.07363,0.6927,-1.21323,-1.21203,-0.00809,2.8923,0.00000,-0.00686,0.03100,11.0333,0.61018,0.61037,0.01550,-0.0247,-1.21323,-1.21198,0.01415,3.3191,0.00000,0.01270,0.08139,-16.7478,0.61018,0.61240,0.01163,-2.6717,-1.21323,-1.21295,-0.01618,4.6467
0.0640,B,-0.01030,-0.00040,-2.19632,-0.10653,0.11292,-0.08309,0.12929,-0.62489,7.45195,-0.455230,0.002520,-0.004493,0.890359,79,30.562,10.220,101,16,27,17,0.00000,-0.00334,0.00000,6.4814,0.61018,0.60641,0.00000,3.9581,-1.21323,-1.21587,-0.00607,6.6855,0.00000,-0.00139,-0.00388,-2.1275,0.61018,0.60911,0.06588,0.8658,-1.21323,-1.21208,-0.02629,3.0346,0.00000,-0.00679,0.06201,11.1322,0.61018,0.61037,-0.00775,-0.0495,-1.21323,-1.21200,-0.01820,3.4139,0.00000,0.01270,0.09689,-16.8715,0.61018,0.61255,0.07363,-2.7212,-1.21323,-1.21295,-0.01415,4.5993
0.0660,B,-0.01042,-0.00020,-2.19651,-0.07670,0.12144,-0.09481,0.12929,-0.62489,7.45195,-0.455144,0.002460,-0.004595,0.890403,79,30.562,10.152,101,16,27,17,0.00000,-0.00331,0.06588,6.4567,0.61018,0.60644,-0.03100,3.9581,-1.21323,-1.21589,-0.00202,6.6381,0.00000,-0.00132,0.03876,-2.0285,0.61018,0.60917,0.03488,0.5937,-1.21323,-1.21214,-0.06470,3.0346,0.00000,-0.00679,0.01938,11.1322,0.61018,0.61031,-0.06588,0.0742,-1.21323,-1.21198,0.02022,3.3191,0.00000,0.01270,0.06201,-16.9457,0.61018,0.61255,0.04263,-2.6470,-1.21323,-1.21295,-0.00809,4.6941
0.0680,B,-0.01054,0.00002,-2.19667,-0.05433,0.11611,-0.08735,0.12929,-0.62489,7.45195,-0.455071,0.002392,-0.004698,0.890439,79,30.553,10.494,101,16,27,17,0.00000,-0.00334,0.00000,6.4567,0.61018,0.60650,0.01163,3.9581,-1.21323,-1.21590,-0.03640,6.6381,0.00000,-0.00126,0.04651,-2.2017,0.61018,0.60926,0.08914,0.6432,-1.21323,-1.21224,-0.04448,3.2242,0.00000,-0.00679,0.05426,11.2312,0.61018,0.61037,0.04651,-0.0247,-1.21323,-1.21197,0.04448,3.3191,0.00000,0.01267,-0.03876,-17.0694,0.61018,0.61267,0.03876,-3.0181,-1.21323,-1.21298,-0.04448,4.6941
0.0700,B,-0.01059,0.00023,-2.19684,-0.01917,0.13209,-0.08096,-0.31244,-0.63566,8.01579,-0.454998,0.002305,-0.004768,0.890477,79,30.553,10.357,101,16,27,18,0.00000,-0.00340,-0.00388,6.6051,0.61018,0.60656,0.00000,3.8097,-1.21323,-1.21592,0.02022,6.8278,0.00000,-0.00111,0.08526,-2.3007,0.61018,0.60926,0.03100,0.6679,-1.21323,-1.21230,-0.03842,3.2716,0.00000,-0.00692,-0.10076,11.4538,0.61018,0.61034,-0.00388,-0.0247,-1.21323,-1.21198,0.01820,3.3191,0.00000,0.01273,0.07363,-16.9952,0.61018,0.61264,0.01550,-2.7212,-1.21323,-1.21298,-0.02426,4.8363
