rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL
v6,+0.022,1,5,0,0.449,0.537,189.0,1.00,173,2,94,354.2,4.425,6.338,FELL,merge kp=10,1,10,post_merge
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,65,6,680,22.7,,6.338,SURVIVED,merge kp=3,1,3,post_merge
v6,-0.022,0,5,-0,0.457,0.529,74.4,1.00,158,3,85,354.0,4.370,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.026,0,6,0,0.440,0.536,151.9,1.00,200,8,104,390.1,4.955,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.026,1,4,0,0.431,0.522,255.0,1.00,143,2,78,365.7,3.980,6.338,FELL,merge kp=10,1,10,post_merge
v6,-0.026,0,4,-0,0.436,0.532,269.7,1.01,175,3,74,365.8,4.005,6.338,FELL,merge kp=10,1,10,post_merge
v6,-0.026,1,6,-0,0.420,0.536,279.6,1.00,201,0,108,387.5,5.020,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.030,0,6,0,0.454,0.525,130.6,1.00,183,1,101,438.8,4.925,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.018,0,40,105,0.476,0.005,11.5,1.00,62,4,460,21.8,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,+0.018,1,40,89,0.465,0.268,15.3,1.00,117,12,496,25.5,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,-0.018,0,40,89,0.465,0.268,15.2,1.00,116,7,497,37.7,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,-0.018,1,40,105,0.476,0.005,11.4,1.00,62,9,462,21.6,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,+0.036,1,5,0,0.433,0.527,264.1,1.00,202,0,92,422.6,4.440,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.022,0,40,104,0.476,0.005,11.7,1.00,65,6,483,21.4,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,-0.036,0,5,-0,0.421,0.523,329.1,1.00,204,4,97,424.6,4.485,6.338,FELL,merge kp=10,1,10,post_merge
v6,-0.022,1,40,104,0.476,0.005,11.7,1.00,62,8,480,21.4,,6.338,SURVIVED,merge kp=10,1,10,post_merge
v6,+0.045,1,5,0,0.448,0.537,148.9,1.00,192,5,93,483.9,4.395,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.045,0,8,600,0.450,0.527,127.8,1.00,161,6,158,553.0,6.050,6.338,FELL,merge kp=10,1,10,post_merge
v6,-0.045,0,9,417,0.405,0.551,319.1,1.00,147,2,218,711.8,6.765,6.338,FELL,merge kp=10,1,10,post_merge
v6,-0.045,1,8,666,0.449,0.531,179.5,1.00,177,4,162,565.1,6.125,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.055,0,8,-162,0.420,0.533,188.4,1.01,153,22,199,424.9,6.365,6.338,FELL,merge kp=10,1,10,post_merge
v6,+0.055,1,5,0,0.424,0.531,171.7,1.01,209,3,115,422.9,4.390,6.338,FELL,merge kp=10,1,10,post_merge
