group,command,steps,achieved,dcm,cop,ankle,degraded,selfcol,openloop,fell_t,survived
turn,wz=-0.20,40,wz: -0.2011 / -0.2000 rad/s (101%),4.9,1.00,67,11,0,0,,SURVIVED
turn,wz=+0.40,40,vy: -0.0032 m/s (drift)   wz: +0.4020 / +0.4000 rad/s (100%),4.9,1.00,53,12,0,0,,SURVIVED
turn,wz=-0.40,40,wz: -0.4021 / -0.4000 rad/s (101%),4.9,1.00,70,21,0,0,,SURVIVED
turn,wz=+0.60,40,vy: -0.0038 m/s (drift)   wz: +0.6030 / +0.6000 rad/s (101%),7.8,1.00,54,21,0,0,,SURVIVED
turn,wz=-0.60,40,vy: +0.0016 m/s (drift)   wz: -0.6041 / -0.6000 rad/s (101%),18.3,1.00,107,25,16,0,,SURVIVED
turn,wz=+0.80,40,vx: +0.0020 m/s (drift)   vy: -0.0043 m/s (drift)   wz: +0.8017 / +0.8000 rad/s (100%),9.0,1.00,56,27,0,0,,SURVIVED
turn,wz=-0.80,40,vy: +0.0022 m/s (drift)   wz: -0.8005 / -0.8000 rad/s (100%),10.6,1.00,69,31,0,0,,SURVIVED
turn fast,wz=+0.80 t=0.40,40,vx: +0.0018 m/s (drift)   vy: -0.0040 m/s (drift)   wz: +0.8132 / +0.8000 rad/s (102%),10.2,1.01,53,15,0,0,,SURVIVED
turn fast,wz=+1.00 t=0.40,34,vx: +0.0031 m/s (drift)   wz: +0.9439 / +1.0000 rad/s (94%),262.4,1.01,201,35,0,0,15.310,FELL
squat,amp=10mm still,0,no command,2.8,0.41,0,0,0,0,,SURVIVED
squat,amp=10mm walk,40,vx: +0.0538 / +0.0550 m/s (98%)   vy: -0.0012 m/s (drift),4.9,1.00,75,24,0,0,,SURVIVED
squat,amp=20mm still,0,no command,2.8,0.41,0,0,0,0,,SURVIVED
squat,amp=20mm walk,40,vx: +0.0537 / +0.0550 m/s (98%)   vy: -0.0012 m/s (drift),4.9,1.00,88,21,0,0,,SURVIVED
squat,amp=40mm still,0,no command,2.8,0.42,0,0,0,0,,SURVIVED
squat,amp=40mm walk,40,vx: +0.0533 / +0.0550 m/s (97%)   vy: -0.0012 m/s (drift),11.3,1.00,86,18,0,0,,SURVIVED
combined,vx+wz,40,vx: +0.0539 / +0.0550 m/s (98%)   vy: -0.0023 m/s (drift)   wz: +0.1004 / +0.1000 rad/s (100%),4.9,1.00,55,30,0,0,,SURVIVED
combined,vx+vy,40,vx: +0.0542 / +0.0550 m/s (98%)   vy: +0.0336 / +0.0360 m/s (93%),12.7,1.00,76,22,0,0,,SURVIVED
combined,vx+squat,40,vx: +0.0537 / +0.0550 m/s (98%)   vy: -0.0012 m/s (drift),4.9,1.00,88,21,0,0,,SURVIVED
