rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,TORQUE_SCALE,MU_GROUND,ARM_HOLD,KP_ARM,KD_ARM,SOLE_HALF_W
v2_sole60,-0.055,0,40,95,0.476,0.003,5.1,1.00,59,28,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.055,1,40,100,0.476,0.003,5.1,1.00,58,24,0,0.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.065,0,40,100,0.476,0.003,7.7,1.00,63,31,8,3.4,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.065,1,40,96,0.476,0.003,5.1,1.00,63,36,8,3.2,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.065,0,40,96,0.476,0.003,9.9,1.00,64,25,18,7.8,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.065,1,40,100,0.476,0.014,11.8,1.00,63,27,9,5.1,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.091,1,9,50,0.398,0.536,567.1,1.01,169,41,108,81.1,6.605,6.630,FELL,sole 60mm,,,,,,0.030
v2_sole60,-0.091,1,9,317,0.399,0.534,266.5,1.00,186,24,42,108.4,6.560,6.630,FELL,sole 60mm,,,,,,0.030
v2_sole60,+0.073,0,40,99,0.476,0.012,19.7,1.00,104,41,176,57.4,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.073,1,40,96,0.476,0.008,17.6,1.00,74,24,158,18.1,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.073,0,40,96,0.476,0.008,15.2,1.00,74,24,183,19.4,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.073,1,40,99,0.476,0.010,16.4,1.00,67,23,127,7.4,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,+0.091,0,40,99,0.469,0.025,15.8,1.00,92,23,352,22.0,,6.630,SURVIVED,sole 60mm,,,,,,0.030
v2_sole60,-0.091,0,40,96,0.468,0.013,21.4,1.01,82,25,332,11.3,,6.630,SURVIVED,sole 60mm,,,,,,0.030
