rev,vy,first_swing,MU_GROUND,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,SOLE_HALF_W
v2base,-0.055,0,0.8,21,165,0.416,0.544,293.7,1.01,193,35,0,0.0,13.100,6.630,FELL,mu 0.8,
v2base,-0.050,1,0.8,40,100,0.476,0.015,10.9,1.00,76,16,0,0.0,,6.630,SURVIVED,mu 0.8,
v2base,+0.073,0,0.8,7,679,0.405,0.521,191.1,1.01,197,21,0,0.0,5.375,6.630,FELL,mu 0.8,
v2base,+0.065,0,0.8,9,460,0.415,0.572,302.7,1.00,199,22,0,0.0,6.530,6.630,FELL,mu 0.8,
v2base,-0.065,0,0.8,8,548,0.423,0.536,239.8,1.01,197,26,4,198.9,5.985,6.630,FELL,mu 0.8,
v2base,+0.065,1,0.8,8,257,0.428,0.521,126.0,1.01,190,28,28,144.8,6.265,6.630,FELL,mu 0.8,
v2base,-0.065,1,0.8,8,255,0.384,0.548,239.4,1.01,203,36,11,97.8,6.305,6.630,FELL,mu 0.8,
v2base,+0.073,1,0.8,8,-164,0.440,0.522,113.5,1.01,144,21,23,88.9,6.165,6.630,FELL,mu 0.8,
v2base,-0.073,0,0.8,8,161,0.395,0.528,550.1,1.01,183,37,3,161.1,6.340,6.630,FELL,mu 0.8,
v2base,-0.073,1,0.8,7,1228,0.415,0.528,336.5,1.00,132,17,6,92.0,5.395,6.630,FELL,mu 0.8,
v2base,+0.091,1,0.8,6,0,0.428,0.550,263.1,1.00,165,27,0,0.0,5.130,6.630,FELL,mu 0.8,
v2base,-0.091,0,0.8,6,-0,0.430,0.533,261.2,1.01,189,32,3,312.8,5.165,6.630,FELL,mu 0.8,
v2base,+0.091,0,0.8,7,745,0.432,0.553,278.8,1.00,201,24,20,119.1,5.545,6.630,FELL,mu 0.8,
v2base,-0.091,1,0.8,8,180,0.426,0.544,63.0,1.00,158,28,0,0.0,6.255,6.630,FELL,mu 0.8,
v2base,-0.045,1,0.9,22,117,0.437,0.521,39.9,1.00,135,29,0,0.0,13.825,6.630,FELL,mu 0.9,
v2base,+0.045,0,0.9,40,101,0.476,0.010,9.3,1.00,72,46,0,0.0,,6.630,SURVIVED,mu 0.9,
v2base,+0.045,1,0.9,40,94,0.476,0.010,17.7,1.00,75,32,0,0.0,,6.630,SURVIVED,mu 0.9,
v2base,-0.045,0,0.9,40,94,0.475,0.010,18.6,1.01,89,44,0,0.0,,6.630,SURVIVED,mu 0.9,
v2base,+0.055,0,0.9,20,119,0.432,0.525,99.6,1.01,197,29,0,0.0,12.825,6.630,FELL,mu 0.9,
v2base,+0.050,0,0.9,40,100,0.476,0.021,10.9,1.00,75,31,0,0.0,,6.630,SURVIVED,mu 0.9,
v2base,+0.050,1,0.9,40,95,0.466,0.017,30.3,1.00,87,28,0,0.0,,6.630,SURVIVED,mu 0.9,
v2base,-0.050,0,0.9,40,95,0.462,0.026,23.8,1.00,108,28,0,0.0,,6.630,SURVIVED,mu 0.9,
v2base,-0.050,1,0.9,40,100,0.476,0.015,10.7,1.00,73,35,0,0.0,,6.630,SURVIVED,mu 0.9,
v2base,-0.055,0,0.9,7,101,0.447,0.531,59.3,1.01,111,9,0,0.0,5.670,6.630,FELL,mu 0.9,
v2base,+0.065,1,0.9,8,685,0.416,0.535,372.2,1.01,195,28,12,175.0,6.010,6.630,FELL,mu 0.9,
v2base,+0.055,1,0.9,17,100,0.452,0.522,59.3,1.01,115,16,0,0.0,11.160,6.630,FELL,mu 0.9,
v2base,-0.065,1,0.9,9,409,0.436,0.530,270.7,1.01,201,19,3,164.1,6.480,6.630,FELL,mu 0.9,
v2base,+0.073,0,0.9,7,946,0.417,0.546,314.6,1.01,178,28,0,0.0,5.465,6.630,FELL,mu 0.9,
v2base,+0.065,0,0.9,12,154,0.430,0.523,59.1,1.00,190,20,0,0.0,8.355,6.630,FELL,mu 0.9,
v2base,+0.073,1,0.9,8,541,0.403,0.588,280.8,1.00,163,43,9,495.5,5.930,6.630,FELL,mu 0.9,
v2base,-0.065,0,0.9,12,207,0.440,0.529,313.2,1.01,152,18,3,65.3,8.225,6.630,FELL,mu 0.9,
v2base,+0.091,0,0.9,6,0,0.423,0.523,121.8,1.01,186,33,0,0.0,4.855,6.630,FELL,mu 0.9,
v2base,-0.073,1,0.9,6,-0,0.417,0.522,54.0,1.00,194,12,0,0.0,5.070,6.630,FELL,mu 0.9,
v2base,+0.091,1,0.9,6,0,0.443,0.541,192.1,1.01,174,21,22,396.7,5.095,6.630,FELL,mu 0.9,
v2base,-0.055,1,0.9,26,114,0.432,0.522,99.6,1.01,201,39,0,0.0,16.085,6.630,FELL,mu 0.9,
v2base,-0.091,1,0.9,7,667,0.398,0.542,342.6,1.01,167,30,17,105.8,5.410,6.630,FELL,mu 0.9,
v2base,-0.073,0,0.9,11,152,0.436,0.524,209.6,1.00,168,45,12,96.8,7.925,6.630,FELL,mu 0.9,
v2base,-0.091,0,0.9,10,279,0.348,0.545,456.0,1.00,204,31,11,58.9,7.185,6.630,FELL,mu 0.9,
v2base,+0.050,1,1.1,7,227,0.441,0.536,51.4,1.00,189,12,0,0.0,5.565,6.630,FELL,mu 1.1,
v2base,-0.050,0,1.1,7,234,0.436,0.527,52.2,1.00,162,21,0,0.0,5.590,6.630,FELL,mu 1.1,
v2base,+0.045,0,1.1,40,101,0.473,0.027,29.7,1.00,113,113,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,-0.045,1,1.1,40,101,0.469,0.029,37.7,1.00,111,132,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,+0.045,1,1.1,40,95,0.476,0.007,9.3,1.00,77,86,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,-0.045,0,1.1,40,95,0.476,0.008,8.8,1.00,63,99,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,+0.050,0,1.1,40,100,0.476,0.008,10.4,1.00,84,59,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,-0.050,1,1.1,40,100,0.476,0.008,10.6,1.00,82,85,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,+0.055,0,1.1,40,100,0.476,0.012,15.0,1.00,103,54,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,+0.065,0,1.1,11,222,0.428,0.562,224.9,1.00,207,24,0,0.0,7.640,6.630,FELL,mu 1.1,
v2base,+0.055,1,1.1,40,94,0.463,0.188,45.0,1.00,112,93,5,32.2,,6.630,SURVIVED,mu 1.1,
v2base,+0.065,1,1.1,12,219,0.394,0.544,337.2,1.01,169,32,0,0.0,8.340,6.630,FELL,mu 1.1,
v2base,-0.065,0,1.1,12,176,0.424,0.553,215.9,1.00,207,39,5,282.9,8.435,6.630,FELL,mu 1.1,
v2base,+0.073,0,1.1,7,861,0.444,0.537,194.4,1.01,144,18,1,0.0,5.420,6.630,FELL,mu 1.1,
v2base,-0.065,1,1.1,15,145,0.439,0.559,206.3,1.01,145,42,0,0.0,10.005,6.630,FELL,mu 1.1,
v2base,+0.073,1,1.1,8,430,0.398,0.534,371.7,1.00,201,51,0,0.0,6.060,6.630,FELL,mu 1.1,
v2base,-0.073,1,1.1,7,916,0.423,0.543,264.3,1.00,188,19,0,0.0,5.565,6.630,FELL,mu 1.1,
v2base,-0.073,0,1.1,8,518,0.401,0.570,345.0,1.01,189,28,0,0.0,5.975,6.630,FELL,mu 1.1,
v2base,+0.091,0,1.1,7,540,0.424,0.521,240.0,1.01,191,40,21,136.4,5.695,6.630,FELL,mu 1.1,
v2base,+0.091,1,1.1,6,0,0.396,0.534,185.6,1.00,200,29,27,307.1,5.210,6.630,FELL,mu 1.1,
v2base,-0.091,0,1.1,8,323,0.406,0.529,318.9,1.03,189,53,7,36.4,6.005,6.630,FELL,mu 1.1,
v2base,-0.091,1,1.1,7,615,0.414,0.545,302.7,1.00,198,60,47,71.6,5.570,6.630,FELL,mu 1.1,
v2base,-0.055,0,1.1,40,95,0.473,0.016,21.0,1.00,104,79,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,-0.055,1,1.1,40,100,0.476,0.010,11.2,1.00,103,60,0,0.0,,6.630,SURVIVED,mu 1.1,
v2base,+0.045,0,1.5,40,131,0.410,0.521,302.0,1.01,200,128,8,122.6,25.285,6.630,FELL,mu 1.5,
v2base,+0.045,1,1.5,40,95,0.475,0.009,16.8,1.00,78,74,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,-0.045,0,1.5,40,94,0.475,0.023,21.0,1.00,120,111,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,+0.050,0,1.5,40,102,0.454,0.529,77.4,1.01,112,92,0,0.0,24.265,6.630,FELL,mu 1.5,
v2base,-0.045,1,1.5,40,114,0.405,0.568,547.0,1.01,178,138,7,151.0,25.180,6.630,FELL,mu 1.5,
v2base,+0.050,1,1.5,40,95,0.475,0.012,12.0,1.00,103,77,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,-0.050,0,1.5,40,95,0.475,0.012,17.5,1.00,103,114,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,+0.065,1,1.5,8,485,0.401,0.567,312.4,1.00,188,25,2,146.9,6.290,6.630,FELL,mu 1.5,
v2base,-0.050,1,1.5,40,100,0.475,0.021,16.8,1.00,103,102,0,0.0,,6.630,SURVIVED,mu 1.5,
v2base,-0.065,0,1.5,9,177,0.439,0.532,134.4,1.00,158,38,0,0.0,6.525,6.630,FELL,mu 1.5,
