rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,MOM,KP_MOM,MOM_LEVEL,MOM_AXES
v6,-0.045,1,8,622,0.448,0.534,149.9,1.00,157,0,161,476.8,6.070,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.055,1,5,0,0.421,0.522,141.1,1.00,205,1,112,848.6,4.380,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.055,0,8,-216,0.444,0.521,219.3,1.00,121,11,217,423.7,6.385,6.338,FELL,post< kp=30,1,30,post_after,
v6,-0.055,0,8,-745,0.413,0.536,500.0,1.01,179,17,166,372.8,6.120,6.338,FELL,post< kp=30,1,30,post_after,
v6,-0.030,0,40,93,0.465,0.263,13.1,1.00,114,5,578,25.6,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,+0.030,1,40,93,0.465,0.262,11.8,1.00,114,6,575,25.7,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,-0.055,1,8,25,0.442,0.526,90.1,1.00,159,6,178,424.5,6.010,6.338,FELL,post< kp=30,1,30,post_after,
v6,+0.018,0,2,0,0.453,0.527,74.5,1.00,172,17,475,120.2,2.995,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,7,681,21.5,,6.338,SURVIVED,post< kp=30,1,30,post_after,
v6,+0.018,1,3,0,0.430,0.569,393.1,1.01,200,13,574,192.2,3.540,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.018,1,2,-0,0.439,0.527,152.0,1.00,163,17,465,2811.4,2.920,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.018,0,3,-0,0.415,0.521,404.3,1.01,209,18,517,107.2,3.250,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.022,0,3,0,0.375,0.554,124.8,1.00,194,22,474,179.9,3.175,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.022,1,3,0,0.421,0.551,252.9,1.00,123,16,514,178.0,3.475,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.022,0,3,-0,0.395,0.550,425.8,1.00,190,59,495,288.0,3.145,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,-0.022,1,3,-0,0.414,0.521,282.9,1.01,168,22,518,191.3,3.310,6.338,FELL,swing> kp=3,1,3,swing_before,
v6,+0.026,0,3,0,0.431,0.520,245.5,1.00,149,21,506,44.6,3.565,6.338,FELL,swing> kp=3,1,3,swing_before,
