rev,vy,first_swing,steps,achieved_pct,trunk_z,tilt,dcm,cop,ankle,degraded,selfcol_ticks,selfcol_peak,fell_t,mass,survived,cond,ARM_HOLD,KP_ARM,KD_ARM
v6,+0.030,1,40,93,0.465,0.263,11.9,1.00,114,10,574,25.3,,6.338,SURVIVED,v6 off,,,
v6,-0.045,0,9,320,0.454,0.535,122.3,1.01,148,3,178,707.0,6.610,6.338,FELL,v6 off,,,
v6,+0.055,1,5,0,0.436,0.535,210.9,1.00,173,0,103,498.0,4.460,6.338,FELL,v6 off,,,
v6,-0.055,0,5,-0,0.448,0.537,102.6,1.00,208,0,99,380.2,4.370,6.338,FELL,v6 off,,,
v6,+0.055,0,9,-352,0.423,0.529,351.1,1.00,159,14,212,734.6,6.430,6.338,FELL,v6 off,,,
v6,-0.055,1,9,-347,0.411,0.522,378.9,1.00,146,9,167,423.6,6.405,6.338,FELL,v6 off,,,
v6,-0.030,0,40,93,0.465,0.263,11.8,1.00,115,6,580,25.1,,6.338,SURVIVED,v6 off,,,
v6,-0.030,1,40,102,0.476,0.006,11.8,1.00,63,9,541,21.0,,6.338,SURVIVED,v6 off,,,
v6,+0.036,0,40,101,0.476,0.005,11.5,1.00,62,9,682,21.5,,6.338,SURVIVED,v6 off,,,
v6,-0.036,1,40,101,0.476,0.005,11.5,1.00,62,6,681,21.5,,6.338,SURVIVED,v6 off,,,
v6,+0.018,0,40,105,0.476,0.004,6.1,1.00,63,8,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.018,1,40,90,0.476,0.005,5.4,1.00,67,3,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,-0.018,0,40,90,0.476,0.004,6.6,1.00,63,5,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,-0.018,1,40,105,0.476,0.005,5.4,1.00,66,6,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.022,1,40,92,0.476,0.004,5.4,1.00,58,2,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.022,0,40,104,0.476,0.003,6.2,1.00,69,8,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,-0.022,0,40,91,0.476,0.004,6.1,1.00,58,5,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,-0.022,1,40,104,0.476,0.003,5.4,1.00,64,5,13,4.5,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.026,0,40,103,0.476,0.003,7.0,1.00,61,6,0,0.0,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.026,1,40,92,0.476,0.004,5.4,1.00,63,7,52,3.9,,6.338,SURVIVED,v6 hold100,1,100,20
v6,-0.026,0,40,93,0.476,0.005,6.1,1.00,72,6,10,2.4,,6.338,SURVIVED,v6 hold100,1,100,20
v6,-0.026,1,40,103,0.476,0.004,5.5,1.00,60,4,21,4.2,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.030,0,40,102,0.476,0.005,6.2,1.00,65,10,99,11.1,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.030,1,40,93,0.476,0.004,6.6,1.00,60,13,80,5.8,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.036,0,10,58,0.431,0.529,121.6,1.01,177,29,55,389.7,7.275,6.338,FELL,v6 hold100,1,100,20
v6,+0.036,1,8,291,0.420,0.543,166.7,1.00,193,21,20,88.8,6.140,6.338,FELL,v6 hold100,1,100,20
v6,-0.030,1,40,102,0.476,0.008,7.5,1.00,64,12,62,25.9,,6.338,SURVIVED,v6 hold100,1,100,20
v6,-0.030,0,40,93,0.476,0.007,6.1,1.00,59,9,45,7.5,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.055,1,6,0,0.415,0.523,248.3,1.00,163,43,37,77.1,5.075,6.338,FELL,v6 hold100,1,100,20
v6,+0.045,1,7,54,0.448,0.543,73.1,1.01,204,33,77,413.1,5.570,6.338,FELL,v6 hold100,1,100,20
v6,-0.036,1,17,196,0.427,0.525,203.7,1.00,206,18,78,124.7,11.030,6.338,FELL,v6 hold100,1,100,20
v6,-0.045,1,10,352,0.434,0.550,191.2,1.01,196,18,78,310.9,7.205,6.338,FELL,v6 hold100,1,100,20
v6,+0.045,0,13,286,0.403,0.522,396.1,1.00,205,54,144,489.5,8.775,6.338,FELL,v6 hold100,1,100,20
v6,-0.045,0,13,46,0.439,0.531,157.9,1.01,168,37,86,390.5,8.890,6.338,FELL,v6 hold100,1,100,20
v6,+0.055,0,16,49,0.440,0.539,246.1,1.01,205,35,124,415.0,10.660,6.338,FELL,v6 hold100,1,100,20
v6,-0.055,1,8,-58,0.433,0.531,89.6,1.01,202,31,97,439.3,6.100,6.338,FELL,v6 hold100,1,100,20
v6,-0.055,0,9,-26,0.442,0.552,126.2,1.00,193,15,105,381.5,6.655,6.338,FELL,v6 hold100,1,100,20
v6,-0.036,0,40,94,0.476,0.005,6.1,1.00,62,8,167,10.9,,6.338,SURVIVED,v6 hold100,1,100,20
v6,+0.018,0,40,105,0.476,0.003,6.1,1.00,78,7,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.018,1,40,90,0.476,0.003,5.4,1.00,67,2,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,-0.018,0,40,90,0.476,0.004,6.1,1.00,65,9,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,-0.018,1,40,105,0.476,0.003,5.5,1.00,66,2,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.022,0,40,104,0.476,0.006,6.1,1.00,68,5,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.022,1,40,92,0.476,0.003,5.4,1.00,60,7,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,-0.022,0,40,91,0.476,0.003,6.3,1.00,66,5,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,-0.022,1,40,104,0.476,0.004,5.4,1.00,64,10,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.030,1,25,55,0.436,0.520,170.9,1.00,193,37,56,375.7,15.610,6.338,FELL,v6 hold400,1,400,40
v6,-0.030,0,25,77,0.448,0.521,200.5,1.01,198,37,96,376.3,15.530,6.338,FELL,v6 hold400,1,400,40
v6,+0.026,0,40,103,0.476,0.004,9.5,1.00,113,6,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.026,1,40,92,0.476,0.003,5.4,1.00,61,13,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.036,0,9,476,0.419,0.542,233.5,1.01,171,29,44,242.6,6.680,6.338,FELL,v6 hold400,1,400,40
v6,-0.026,0,40,93,0.476,0.004,6.6,1.00,62,10,2,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,-0.026,1,40,103,0.476,0.004,5.6,1.00,63,4,0,0.0,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.030,0,40,102,0.476,0.004,6.1,1.00,66,11,34,3.1,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.036,1,18,151,0.418,0.566,173.3,1.01,206,28,36,71.2,11.580,6.338,FELL,v6 hold400,1,400,40
v6,+0.045,0,7,978,0.396,0.528,146.8,1.00,182,22,47,117.2,5.585,6.338,FELL,v6 hold400,1,400,40
v6,+0.045,1,7,-368,0.411,0.535,283.3,1.01,207,47,104,416.6,5.695,6.338,FELL,v6 hold400,1,400,40
v6,-0.045,0,13,25,0.438,0.546,147.9,1.01,180,31,90,364.1,8.930,6.338,FELL,v6 hold400,1,400,40
v6,-0.045,1,10,-162,0.436,0.525,259.0,1.01,194,17,132,431.6,7.445,6.338,FELL,v6 hold400,1,400,40
v6,-0.055,0,6,-0,0.406,0.522,165.7,1.00,212,23,22,370.3,4.935,6.338,FELL,v6 hold400,1,400,40
v6,-0.030,1,40,102,0.476,0.003,5.5,1.00,69,6,10,3.2,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.055,1,8,596,0.418,0.545,300.7,1.00,185,13,26,229.2,6.190,6.338,FELL,v6 hold400,1,400,40
v6,-0.036,0,21,56,0.442,0.529,132.9,1.01,202,33,91,382.2,13.330,6.338,FELL,v6 hold400,1,400,40
v6,+0.055,0,11,289,0.351,0.549,287.2,1.00,164,30,55,104.3,7.880,6.338,FELL,v6 hold400,1,400,40
v6,-0.055,1,6,-0,0.439,0.526,83.7,1.01,172,27,61,391.6,5.155,6.338,FELL,v6 hold400,1,400,40
v6,-0.036,1,40,101,0.476,0.004,6.8,1.00,72,7,37,7.1,,6.338,SURVIVED,v6 hold400,1,400,40
v6,+0.018,0,40,105,0.476,0.003,6.2,1.00,72,8,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,+0.018,1,40,90,0.476,0.003,5.4,1.00,63,8,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.018,0,40,90,0.476,0.005,6.2,1.00,61,4,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.018,1,40,105,0.476,0.004,6.4,1.00,69,10,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,+0.022,0,40,104,0.476,0.004,6.2,1.00,61,2,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,+0.022,1,40,91,0.476,0.006,9.0,1.00,58,6,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.022,0,40,92,0.476,0.004,6.3,1.00,57,5,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.022,1,40,104,0.476,0.004,5.4,1.00,62,5,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,+0.026,0,40,103,0.476,0.004,6.2,1.00,80,8,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.030,1,17,193,0.403,0.524,108.9,1.00,207,33,54,844.1,11.015,6.338,FELL,v6 hold800,1,800,80
v6,+0.026,1,40,92,0.476,0.003,5.4,1.00,69,9,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.026,0,40,92,0.476,0.004,6.2,1.00,60,6,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.026,1,40,103,0.476,0.004,5.4,1.00,61,3,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,+0.030,0,40,102,0.476,0.003,6.2,1.00,64,8,6,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,+0.030,1,40,93,0.476,0.004,6.7,1.00,73,11,0,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,-0.030,0,40,93,0.476,0.004,6.2,1.00,82,8,2,0.0,,6.338,SURVIVED,v6 hold800,1,800,80
v6,+0.045,0,6,0,0.442,0.520,139.0,1.01,183,41,52,447.2,5.055,6.338,FELL,v6 hold800,1,800,80
v6,-0.036,0,8,348,0.424,0.575,228.7,1.00,203,33,14,25.7,6.065,6.338,FELL,v6 hold800,1,800,80
v6,+0.036,1,12,230,0.350,0.538,203.0,1.00,167,38,108,402.4,8.495,6.338,FELL,v6 hold800,1,800,80
v6,-0.045,0,8,-785,0.389,0.536,371.8,1.01,188,35,100,822.4,5.920,6.338,FELL,v6 hold800,1,800,80
v6,-0.036,1,10,-69,0.404,0.527,294.9,1.01,197,25,75,372.0,7.380,6.338,FELL,v6 hold800,1,800,80
v6,+0.036,0,18,219,0.428,0.539,345.2,1.01,149,46,35,165.4,11.835,6.338,FELL,v6 hold800,1,800,80
v6,-0.045,1,9,341,0.425,0.536,126.2,1.00,137,26,41,88.3,6.705,6.338,FELL,v6 hold800,1,800,80
v6,+0.045,1,16,125,0.432,0.528,63.5,1.00,166,39,56,749.5,10.510,6.338,FELL,v6 hold800,1,800,80
v6,+0.055,0,9,41,0.416,0.520,143.9,1.00,181,28,83,373.3,6.455,6.338,FELL,v6 hold800,1,800,80
v6,-0.055,0,6,-0,0.395,0.533,235.2,1.00,178,34,43,419.6,5.155,6.338,FELL,v6 hold800,1,800,80
v6,+0.055,1,10,-253,0.409,0.520,432.6,1.01,195,40,66,490.3,7.155,6.338,FELL,v6 hold800,1,800,80
v6,-0.055,1,11,226,0.391,0.522,154.0,1.01,196,58,75,173.8,7.620,6.338,FELL,v6 hold800,1,800,80
v6fixed,+0.018,0,40,105,0.476,0.002,5.4,1.00,69,10,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.018,1,40,90,0.476,0.002,5.4,1.00,66,12,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.018,0,40,90,0.476,0.002,5.4,1.00,65,9,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.018,1,40,105,0.476,0.002,5.4,1.00,64,2,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.022,0,40,104,0.476,0.002,5.4,1.00,63,15,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.022,1,40,91,0.476,0.002,5.4,1.00,64,14,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.022,0,40,91,0.476,0.002,5.4,1.00,67,12,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.022,1,40,104,0.476,0.002,5.4,1.00,63,6,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.026,0,40,103,0.476,0.003,7.2,1.00,69,33,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.026,1,40,92,0.476,0.007,6.7,1.00,67,21,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.026,0,40,92,0.476,0.007,6.8,1.00,64,4,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.026,1,40,103,0.476,0.002,6.5,1.00,68,5,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.030,0,40,102,0.476,0.004,7.5,1.00,64,35,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.030,1,40,93,0.476,0.010,13.1,1.00,66,20,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.030,0,40,93,0.476,0.009,8.1,1.00,66,10,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.030,1,40,102,0.476,0.008,13.3,1.00,66,5,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.045,1,8,-532,0.427,0.528,233.7,1.01,204,43,33,228.6,5.970,6.338,FELL,v6fixed,,,
v6fixed,-0.045,0,15,108,0.439,0.529,47.3,1.00,181,16,0,0.0,10.015,6.338,FELL,v6fixed,,,
v6fixed,+0.055,0,11,314,0.424,0.554,344.7,1.00,181,18,3,213.4,7.820,6.338,FELL,v6fixed,,,
v6fixed,+0.055,1,8,635,0.418,0.546,290.6,1.01,217,17,20,111.9,6.045,6.338,FELL,v6fixed,,,
v6fixed,-0.045,1,28,113,0.439,0.522,37.5,1.00,156,24,0,0.0,17.160,6.338,FELL,v6fixed,,,
v6fixed,-0.055,0,8,444,0.397,0.524,191.2,1.00,163,25,5,222.2,5.995,6.338,FELL,v6fixed,,,
v6fixed,+0.036,0,40,101,0.476,0.008,12.6,1.00,63,28,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,+0.036,1,40,94,0.476,0.008,10.5,1.00,63,23,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.036,0,40,94,0.476,0.016,10.3,1.00,63,10,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.036,1,40,101,0.476,0.007,10.0,1.00,64,6,0,0.0,,6.338,SURVIVED,v6fixed,,,
v6fixed,-0.055,1,11,269,0.432,0.523,290.6,1.01,207,24,6,0.0,7.845,6.338,FELL,v6fixed,,,
v6fixed,+0.045,0,40,101,0.475,0.014,27.7,1.00,117,19,0,0.0,,6.338,SURVIVED,v6fixed,,,
v4,+0.018,0,40,105,0.476,0.004,5.4,1.00,68,5,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.018,1,40,90,0.476,0.003,5.4,1.00,69,7,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.018,0,40,90,0.476,0.003,6.9,1.00,66,4,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.018,1,40,105,0.476,0.009,6.0,1.00,67,13,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.022,0,40,104,0.476,0.012,6.3,1.00,70,13,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.022,1,40,92,0.476,0.018,7.8,1.00,56,8,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.022,0,40,91,0.476,0.008,6.0,1.00,68,5,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.022,1,40,104,0.476,0.008,6.8,1.00,80,9,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.026,0,40,103,0.476,0.019,7.6,1.00,66,25,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.026,1,40,92,0.476,0.031,13.0,1.00,64,21,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.026,0,40,92,0.476,0.011,9.8,1.00,63,21,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.026,1,40,103,0.476,0.019,8.4,1.00,64,14,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.030,0,40,102,0.476,0.010,17.9,1.00,70,30,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.030,1,40,93,0.476,0.012,7.7,1.00,64,18,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.030,0,40,93,0.476,0.019,13.6,1.00,61,21,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,-0.030,1,40,102,0.476,0.020,13.1,1.00,123,26,0,0.0,,6.358,SURVIVED,v4 hold400,1,400,40
v4,+0.045,0,9,218,0.417,0.528,126.4,1.01,199,42,7,630.0,6.535,6.358,FELL,v4 hold400,1,400,40
v4,-0.045,0,8,442,0.435,0.543,149.5,1.00,191,25,0,0.0,6.075,6.358,FELL,v4 hold400,1,400,40
v4,-0.045,1,9,269,0.429,0.540,106.0,1.01,135,35,31,84.5,6.785,6.358,FELL,v4 hold400,1,400,40
v4,+0.036,0,23,145,0.413,0.547,201.0,1.01,197,53,10,131.2,14.305,6.358,FELL,v4 hold400,1,400,40
v4,-0.036,0,23,147,0.411,0.546,240.6,7.34,159,54,0,0.0,14.465,6.358,FELL,v4 hold400,1,400,40
v4,-0.036,1,21,129,0.443,0.545,69.0,1.00,145,41,19,351.7,13.315,6.358,FELL,v4 hold400,1,400,40
v4,+0.055,0,7,1368,0.402,0.524,341.3,1.00,202,23,4,174.4,5.625,6.358,FELL,v4 hold400,1,400,40
v4,+0.036,1,30,120,0.427,0.530,124.4,1.00,154,39,15,92.5,18.235,6.358,FELL,v4 hold400,1,400,40
v4,+0.055,1,11,155,0.428,0.527,146.8,1.00,175,29,11,22.7,7.745,6.358,FELL,v4 hold400,1,400,40
v4,-0.055,0,10,59,0.430,0.548,119.6,1.00,199,25,22,73.1,7.320,6.358,FELL,v4 hold400,1,400,40
v4,+0.045,1,24,113,0.412,0.525,81.4,1.01,201,38,8,154.4,15.110,6.358,FELL,v4 hold400,1,400,40
v4,-0.055,1,13,129,0.445,0.543,340.5,1.23,141,39,18,171.0,8.940,6.358,FELL,v4 hold400,1,400,40
